timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-05-30T00:00:00.000Z";"2025-05-30T23:59:59.999Z";"2025-05-30T05:41:00.000Z";"2025-05-30T23:36:00.000Z";"2781";105646.207725502;106308.9485222422;103685.7882735482;103998.5722406304;57655287183.41;2066610850556.38;"2025-05-30T23:59:59.999Z"
"2025-05-29T00:00:00.000Z";"2025-05-29T23:59:59.999Z";"2025-05-29T11:23:00.000Z";"2025-05-29T23:50:00.000Z";"2781";107795.570582287;108910.0492110121;105374.3999013103;105641.7606983795;56022752042.28;2099378937278.93;"2025-05-29T23:59:59.999Z"
"2025-05-28T00:00:00.000Z";"2025-05-28T23:59:59.999Z";"2025-05-28T01:01:00.000Z";"2025-05-28T20:03:00.000Z";"2781";108992.1725114153;109298.2886215052;106812.9299478466;107802.3245360646;49155377492.62;2142032300750.99;"2025-05-28T23:59:59.999Z"
"2025-05-27T00:00:00.000Z";"2025-05-27T23:59:59.999Z";"2025-05-27T13:21:00.000Z";"2025-05-27T01:25:00.000Z";"2781";109440.4094780203;110744.2078440242;107609.556733003;108994.6421508192;57450176271.9;2165759917665.08;"2025-05-27T23:59:59.999Z"
"2025-05-26T00:00:00.000Z";"2025-05-26T23:59:59.999Z";"2025-05-26T15:42:00.000Z";"2025-05-26T00:29:00.000Z";"2781";109023.7783282035;110376.8814726695;108735.6419218036;109440.3683582281;45950461570.55;2174618146067.49;"2025-05-26T23:59:59.999Z"
"2025-05-25T00:00:00.000Z";"2025-05-25T23:59:59.999Z";"2025-05-25T23:02:00.000Z";"2025-05-25T16:30:00.000Z";"2781";107802.2721295453;109313.3015279185;106683.372464366;109035.3870327308;47518041840.84;2166289174480.45;"2025-05-25T23:59:59.999Z"
"2025-05-24T00:00:00.000Z";"2025-05-24T23:59:59.999Z";"2025-05-24T11:13:00.000Z";"2025-05-24T00:06:00.000Z";"2781";107278.5069779142;109454.5211792546;106895.2910814217;107791.1575412359;45903627162.57;2141965387828.07;"2025-05-24T23:59:59.999Z"
"2025-05-23T00:00:00.000Z";"2025-05-23T23:59:59.999Z";"2025-05-23T00:14:00.000Z";"2025-05-23T23:50:00.000Z";"2781";111679.356260285;111798.9038726132;106841.301245188;107287.7967068221;67548133399.04;2131510862104.81;"2025-05-23T23:59:59.999Z"
"2025-05-22T00:00:00.000Z";"2025-05-22T23:59:59.999Z";"2025-05-22T17:35:00.000Z";"2025-05-22T00:44:00.000Z";"2781";109673.4918561923;111970.1681100799;109285.0723887112;111673.2840187451;70157575642.18;2218898497873.57;"2025-05-22T23:59:59.999Z"
"2025-05-21T00:00:00.000Z";"2025-05-21T23:59:59.999Z";"2025-05-21T23:28:00.000Z";"2025-05-21T09:51:00.000Z";"2781";106791.3124236974;110724.4641814568;106127.2345983214;109678.0763095368;78086364051.2;2178990523382.01;"2025-05-21T23:59:59.999Z"
